label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
0,cdn.clcworld.com.,1,0,1,0,17,2.984234164652489,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,neve.agilecrm.com.,1,0,1,0,18,3.4193819456463714,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.atipso.com.,1,0,1,0,16,3.202819531114783,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.mngtechnologies.com.,1,0,1,0,24,3.5739348962840563,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.saespot.com.,1,0,1,0,16,3.1556390622295662,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.jaegan.com.,1,0,1,0,15,3.139572261986723,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.jaanga.com.,1,0,1,0,15,2.955913095175825,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,www.cloudschool.org.,1,0,1,0,20,3.246439344671016,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.ronbogner.com.,1,0,1,0,18,3.155221528859512,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.barryforirmo.com.,1,0,1,0,21,3.2368573034220742,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.ittblazers.com.,1,0,1,0,20,3.584183719779189,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,athensrestaurant.googlepages.com.,1,0,1,0,33,3.7178960129700496,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,host.graphicriver.net.,1,0,1,0,22,3.663532754804254,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,www.harirajsundaravadivelu.com.,1,0,1,0,31,3.8614768593892217,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
